ray_id,event_index,event_type,layer_index,x,y,z,dir_x,dir_y,dir_z,energy_kev,intensity,cumulative_distance,cumulative_steering_deg
8,0,emitted,,2.0,-2.0,-10.0,-0.19245008972987526,0.19245008972987526,0.9622504486493764,60.0,1.0,0.0,0.0
8,1,layer_enter,0,2.220446049250313e-16,-2.220446049250313e-16,0.0,-0.19245008972987526,0.19245008972987526,0.9622504486493764,60.0,1.0,10.392304845413262,0.0
8,2,layer_exit,0,2.220446049250313e-16,-2.220446049250313e-16,0.0,-0.17562719272476915,0.19245008972987526,0.9654626104301398,60.0,0.98,10.392304845413262,1.0
8,3,layer_enter,1,-0.4547747132499579,0.4983364649515879,2.5,-0.17562719272476915,0.19245008972987526,0.9654626104301398,60.0,0.98,12.981737075094514,1.0
8,4,layer_exit,1,-0.4547747132499579,0.4983364649515879,2.5,-0.15875079797542024,0.19245008972987526,0.96838068294712,60.0,0.9603999999999999,12.981737075094514,2.0
8,5,layer_enter,2,-0.8646104337753979,0.9951712663857267,5.0,-0.15875079797542024,0.19245008972987526,0.96838068294712,60.0,0.9603999999999999,15.563366432251483,2.0
8,6,layer_exit,2,-0.8646104337753979,0.9951712663857267,5.0,-0.1418260461951545,0.1924500897298752,0.9710037773271599,60.0,0.9411919999999999,15.563366432251483,3.0
8,7,layer_enter,3,-1.2297636121326256,1.4906639056101185,7.5,-0.1418260461951545,0.1924500897298752,0.9710037773271599,60.0,0.9411919999999999,18.13802170999061,3.0
8,8,layer_exit,3,-1.2297636121326256,1.4906639056101185,7.5,-0.12485809282731797,0.19245008972987526,0.9733310945503016,60.0,0.9223681599999999,18.13802170999061,4.0
8,9,layer_enter,4,-1.5504615060106715,1.9849717798972106,10.0,-0.12485809282731797,0.19245008972987526,0.9733310945503016,60.0,0.9223681599999999,20.70652076853045,4.0
8,10,layer_exit,4,-1.5504615060106715,1.9849717798972106,10.0,-0.1078521064748787,0.1924500897298752,0.9753619256931729,60.0,0.9039207967999998,20.70652076853045,5.0
8,11,detector_hit,,-2.6562264906160533,3.9580864223731744,20.0,-0.1078521064748787,0.1924500897298752,0.9753619256931729,60.0,0.9039207967999998,30.95912519830986,5.0
9,0,emitted,,4.0,-2.0,-10.0,-0.3651483716701107,0.18257418583505536,0.9128709291752768,60.0,1.0,0.0,0.0
9,1,layer_enter,0,4.440892098500626e-16,-2.220446049250313e-16,0.0,-0.3651483716701107,0.18257418583505536,0.9128709291752768,60.0,1.0,10.954451150103322,0.0
9,2,layer_exit,0,4.440892098500626e-16,-2.220446049250313e-16,0.0,-0.34916096332372193,0.18257418583505536,0.9191046123034728,60.0,0.98,10.954451150103322,1.0
9,3,layer_enter,1,-0.9497312891528464,0.49660882828529523,2.5,-0.34916096332372193,0.18257418583505536,0.9191046123034728,60.0,0.98,13.674489725183982,1.0
9,4,layer_exit,1,-0.9497312891528464,0.49660882828529523,2.5,-0.33306719716550653,0.18257418583505536,0.9250583272631949,60.0,0.9603999999999999,13.674489725183982,2.0
9,5,layer_enter,2,-1.8498561443900643,0.990021460911405,5.0,-0.33306719716550653,0.18257418583505536,0.9250583272631949,60.0,0.9603999999999999,16.37702201565728,2.0
9,6,layer_exit,2,-1.8498561443900643,0.990021460911405,5.0,-0.31687197551254015,0.18257418583505536,0.9307302604951914,60.0,0.9411919999999999,16.37702201565728,3.0
9,7,layer_enter,3,-2.7009941941617286,1.480427203542781,7.5,-0.31687197551254015,0.18257418583505536,0.9307302604951914,60.0,0.9411919999999999,19.063084891350055,3.0
9,8,layer_exit,3,-2.7009941941617286,1.480427203542781,7.5,-0.3005802315862249,0.18257418583505536,0.9361186842736546,60.0,0.9223681599999999,19.063084891350055,4.0
9,9,layer_enter,4,-3.503724223579549,1.9680101054285521,10.0,-0.3005802315862249,0.18257418583505536,0.9361186842736546,60.0,0.9223681599999999,21.733686431516706,4.0
9,10,layer_exit,4,-3.503724223579549,1.9680101054285521,10.0,-0.28419692800958235,0.18257418583505536,0.9412219572325027,60.0,0.9039207967999998,21.733686431516706,5.0
9,11,detector_hit,,-6.523170655165286,3.9077670823257185,20.0,-0.28419692800958235,0.18257418583505536,0.9412219572325027,60.0,0.9039207967999998,32.358172954762765,5.0
10,0,emitted,,-4.0,0.0,-10.0,0.3713906763541037,0.0,0.9284766908852593,60.0,1.0,0.0,0.0
10,1,layer_enter,0,-4.440892098500626e-16,0.0,0.0,0.3713906763541037,0.0,0.9284766908852593,60.0,1.0,10.770329614269007,0.0
10,2,layer_exit,0,-4.440892098500626e-16,0.0,0.0,0.3875382643320974,0.0,0.9218536183573103,60.0,0.98,10.770329614269007,1.0
10,3,layer_enter,1,1.050975601263756,0.0,2.5,0.3875382643320974,0.0,0.9218536183573103,60.0,0.98,13.482256920531421,1.0
10,4,layer_exit,1,1.050975601263756,0.0,2.5,0.40356780440060813,0.0,0.9149497402870131,60.0,0.9603999999999999,13.482256920531421,2.0
10,5,layer_enter,2,2.1536804456686847,0.0,5.0,0.40356780440060813,0.0,0.9149497402870131,60.0,0.9603999999999999,16.214647444207365,2.0
10,6,layer_exit,2,2.1536804456686847,0.0,5.0,0.4194744138064492,0.0,0.9077671596625071,60.0,0.9411919999999999,16.214647444207365,3.0
10,7,layer_enter,3,3.308917252104828,0.0,7.5,0.4194744138064492,0.0,0.9077671596625071,60.0,0.9411919999999999,18.968657625551067,3.0
10,8,layer_exit,3,3.308917252104828,0.0,7.5,0.4352532472423052,0.0,0.9003080643674304,60.0,0.9223681599999999,18.968657625551067,4.0
10,9,layer_enter,4,4.517540345879181,0.0,10.0,0.4352532472423052,0.0,0.9003080643674304,60.0,0.9223681599999999,21.74548491272697,4.0
10,10,layer_exit,4,4.517540345879181,0.0,10.0,0.4508994983226581,0.0,0.8925747265144668,60.0,0.9039207967999998,21.74548491272697,5.0
10,11,detector_hit,,9.569212602872556,0.0,20.0,0.4508994983226581,0.0,0.8925747265144668,60.0,0.9039207967999998,32.949028664240444,5.0
11,0,emitted,,-2.0,0.0,-10.0,0.19611613513818404,0.0,0.9805806756909202,60.0,1.0,0.0,0.0
11,1,layer_enter,0,0.0,0.0,0.0,0.19611613513818404,0.0,0.9805806756909202,60.0,1.0,10.198039027185569,0.0
11,2,layer_exit,0,0.0,0.0,0.0,0.21319975819759673,0.0,0.9770086300051225,60.0,0.98,10.198039027185569,1.0
11,3,layer_enter,1,0.5455421570751092,0.0,2.5,0.21319975819759673,0.0,0.9770086300051225,60.0,0.98,12.756870058173384,1.0
11,4,layer_exit,1,0.5455421570751092,0.0,2.5,0.23021843854534998,0.0,0.9731389780261303,60.0,0.9603999999999999,12.756870058173384,2.0
