sphere_id,layer_index,ring_index,x,y,z,sphere_radius,ring_radius,azimuth_deg,steering_angle_deg
157,6,13,-19.318516525781366,-5.176380902050416,15.0,1.0,20.0,195.0,24.0
158,6,14,-17.320508075688778,-9.999999999999995,15.0,1.0,20.0,210.0,24.0
159,6,15,-14.142135623730958,-14.142135623730942,15.0,1.0,20.0,224.99999999999997,24.0
160,6,16,-10.000000000000009,-17.320508075688767,15.0,1.0,20.0,239.99999999999997,24.0
161,6,17,-5.176380902050413,-19.318516525781366,15.0,1.0,20.0,255.00000000000003,24.0
162,6,18,-3.673940397442059e-15,-20.0,15.0,1.0,20.0,270.0,24.0
163,6,19,5.176380902050406,-19.31851652578137,15.0,1.0,20.0,285.0,24.0
164,6,20,10.000000000000002,-17.32050807568877,15.0,1.0,20.0,300.0,24.0
165,6,21,14.142135623730947,-14.142135623730955,15.0,1.0,20.0,315.0,24.0
166,6,22,17.320508075688767,-10.000000000000009,15.0,1.0,20.0,330.0,24.0
167,6,23,19.318516525781362,-5.176380902050432,15.0,1.0,20.0,344.99999999999994,24.0
168,7,0,20.0,0.0,17.5,1.0,20.0,0.0,28.0
169,7,1,19.318516525781366,5.176380902050415,17.5,1.0,20.0,14.999999999999998,28.0
170,7,2,17.320508075688775,9.999999999999998,17.5,1.0,20.0,29.999999999999996,28.0
171,7,3,14.142135623730951,14.14213562373095,17.5,1.0,20.0,45.0,28.0
172,7,4,10.000000000000002,17.32050807568877,17.5,1.0,20.0,59.99999999999999,28.0
173,7,5,5.176380902050415,19.318516525781366,17.5,1.0,20.0,75.0,28.0
174,7,6,1.2246467991473533e-15,20.0,17.5,1.0,20.0,90.0,28.0
175,7,7,-5.176380902050413,19.318516525781366,17.5,1.0,20.0,105.0,28.0
176,7,8,-9.999999999999996,17.320508075688775,17.5,1.0,20.0,119.99999999999999,28.0
177,7,9,-14.14213562373095,14.142135623730951,17.5,1.0,20.0,135.0,28.0
178,7,10,-17.320508075688775,9.999999999999998,17.5,1.0,20.0,150.0,28.0
179,7,11,-19.318516525781362,5.17638090205042,17.5,1.0,20.0,165.0,28.0
180,7,12,-20.0,2.4492935982947065e-15,17.5,1.0,20.0,180.0,28.0
181,7,13,-19.318516525781366,-5.176380902050416,17.5,1.0,20.0,195.0,28.0
182,7,14,-17.320508075688778,-9.999999999999995,17.5,1.0,20.0,210.0,28.0
183,7,15,-14.142135623730958,-14.142135623730942,17.5,1.0,20.0,224.99999999999997,28.0
184,7,16,-10.000000000000009,-17.320508075688767,17.5,1.0,20.0,239.99999999999997,28.0
185,7,17,-5.176380902050413,-19.318516525781366,17.5,1.0,20.0,255.00000000000003,28.0
186,7,18,-3.673940397442059e-15,-20.0,17.5,1.0,20.0,270.0,28.0
187,7,19,5.176380902050406,-19.31851652578137,17.5,1.0,20.0,285.0,28.0
188,7,20,10.000000000000002,-17.32050807568877,17.5,1.0,20.0,300.0,28.0
189,7,21,14.142135623730947,-14.142135623730955,17.5,1.0,20.0,315.0,28.0
190,7,22,17.320508075688767,-10.000000000000009,17.5,1.0,20.0,330.0,28.0
191,7,23,19.318516525781362,-5.176380902050432,17.5,1.0,20.0,344.99999999999994,28.0
192,8,0,20.0,0.0,20.0,1.0,20.0,0.0,32.0
193,8,1,19.318516525781366,5.176380902050415,20.0,1.0,20.0,14.999999999999998,32.0
194,8,2,17.320508075688775,9.999999999999998,20.0,1.0,20.0,29.999999999999996,32.0
195,8,3,14.142135623730951,14.14213562373095,20.0,1.0,20.0,45.0,32.0
196,8,4,10.000000000000002,17.32050807568877,20.0,1.0,20.0,59.99999999999999,32.0
197,8,5,5.176380902050415,19.318516525781366,20.0,1.0,20.0,75.0,32.0
198,8,6,1.2246467991473533e-15,20.0,20.0,1.0,20.0,90.0,32.0
199,8,7,-5.176380902050413,19.318516525781366,20.0,1.0,20.0,105.0,32.0
200,8,8,-9.999999999999996,17.320508075688775,20.0,1.0,20.0,119.99999999999999,32.0
201,8,9,-14.14213562373095,14.142135623730951,20.0,1.0,20.0,135.0,32.0
202,8,10,-17.320508075688775,9.999999999999998,20.0,1.0,20.0,150.0,32.0
203,8,11,-19.318516525781362,5.17638090205042,20.0,1.0,20.0,165.0,32.0
204,8,12,-20.0,2.4492935982947065e-15,20.0,1.0,20.0,180.0,32.0
205,8,13,-19.318516525781366,-5.176380902050416,20.0,1.0,20.0,195.0,32.0
206,8,14,-17.320508075688778,-9.999999999999995,20.0,1.0,20.0,210.0,32.0
207,8,15,-14.142135623730958,-14.142135623730942,20.0,1.0,20.0,224.99999999999997,32.0
208,8,16,-10.000000000000009,-17.320508075688767,20.0,1.0,20.0,239.99999999999997,32.0
